2023-11-12 23:56:43.353 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3bf6138d, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@10736827, org.springframework.security.web.context.SecurityContextPersistenceFilter@25c3c5fc, org.springframework.security.web.header.HeaderWriterFilter@3f52ce5, org.springframework.security.web.authentication.logout.LogoutFilter@5a3d72d0, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@4123f728, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4a44a6a5, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7c67eb9d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@79176874, org.springframework.security.web.session.SessionManagementFilter@39a1c5af, org.springframework.security.web.access.ExceptionTranslationFilter@5aa9d6f2, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1fb69743]
2023-11-12 23:56:43.610 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
2023-11-12 23:56:43.950 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-12 23:56:43.972 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-12 23:56:44.008 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-12 23:56:44.030 INFO  [restartedMain] [com.tshop.Pro05Application] - Started Pro05Application in 5.652 seconds (JVM running for 11.1)
2023-11-12 23:57:48.534 INFO  [http-nio-8085-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-12 23:57:48.534 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-12 23:57:48.536 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 2 ms
2023-11-12 23:58:42.963 INFO  [File Watcher] [o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener] - Restarting due to 60 class path changes (2 additions, 0 deletions, 58 modifications)
2023-11-12 23:58:43.051 INFO  [Thread-5] [o.apache.coyote.http11.Http11NioProtocol] - Pausing ProtocolHandler ["http-nio-8085"]
2023-11-12 23:58:43.052 INFO  [Thread-5] [org.apache.catalina.core.StandardService] - Stopping service [Tomcat]
2023-11-12 23:58:43.055 INFO  [Thread-5] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Destroying Spring FrameworkServlet 'dispatcherServlet'
2023-11-12 23:58:43.069 INFO  [Thread-5] [o.apache.coyote.http11.Http11NioProtocol] - Stopping ProtocolHandler ["http-nio-8085"]
2023-11-12 23:58:43.073 INFO  [Thread-5] [o.apache.coyote.http11.Http11NioProtocol] - Destroying ProtocolHandler ["http-nio-8085"]
2023-11-12 23:58:43.324 INFO  [restartedMain] [com.tshop.Pro05Application] - Starting Pro05Application using Java 17.0.8 on DESKTOP-29ENCKI with PID 80564 (D:\personal_project05\pro05\build\classes\java\main started by shin-jh in D:\personal_project05\pro05)
2023-11-12 23:58:43.330 INFO  [restartedMain] [com.tshop.Pro05Application] - No active profile set, falling back to 1 default profile: "default"
2023-11-12 23:58:44.589 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-12 23:58:44.590 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-12 23:58:44.591 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-12 23:58:44.591 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-12 23:58:44.668 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-12 23:58:44.668 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 1243 ms
2023-11-12 23:58:44.997 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@dae05b8, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6fd782a7, org.springframework.security.web.context.SecurityContextPersistenceFilter@71373a85, org.springframework.security.web.header.HeaderWriterFilter@637dbe4, org.springframework.security.web.authentication.logout.LogoutFilter@2983d4f6, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@74714ba9, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@606941e5, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@58395ef7, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2b767e4f, org.springframework.security.web.session.SessionManagementFilter@638b4470, org.springframework.security.web.access.ExceptionTranslationFilter@5798caec, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6945b416]
2023-11-12 23:58:45.180 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
2023-11-12 23:58:45.306 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-12 23:58:45.327 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-12 23:58:45.346 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-12 23:58:45.357 INFO  [restartedMain] [com.tshop.Pro05Application] - Started Pro05Application in 2.144 seconds (JVM running for 132.427)
2023-11-12 23:58:45.362 INFO  [restartedMain] [o.s.b.d.a.ConditionEvaluationDeltaLoggingListener] - Condition evaluation unchanged
